id;nombre;siglas;descripcion;costo;metodologia;metodo_ensayo;limite_cuantificacion
1;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;35490;../data/blob/hipster.txt;../data/blob/hipster.txt;31931
2;Quality Applications Missouri;Practical Gorgeous;knowledge user Danish Krone;75237;../data/blob/hipster.txt;../data/blob/hipster.txt;94619
3;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;68803;../data/blob/hipster.txt;../data/blob/hipster.txt;76151
4;Auto Loan Account Refined Practical;Centralized revolutionize International;Sleek;8483;../data/blob/hipster.txt;../data/blob/hipster.txt;23322
5;Maine PCI SAS;Interactions;Pennsylvania dynamic bandwidth;48166;../data/blob/hipster.txt;../data/blob/hipster.txt;77714
6;Oklahoma communities;array supply-chains Advanced;Parkway Handmade Wooden Cheese;11752;../data/blob/hipster.txt;../data/blob/hipster.txt;82279
7;input Naira;Markets;Glen Refined;52837;../data/blob/hipster.txt;../data/blob/hipster.txt;22359
8;Assistant Industrial;Arizona success Sleek Frozen Chips;Gorgeous Rubber Chicken Associate Central African Republic;62939;../data/blob/hipster.txt;../data/blob/hipster.txt;21680
9;heuristic Orchestrator Naira;Legacy Unbranded Plastic Chips;Unbranded Cotton Table Generic B2B;16967;../data/blob/hipster.txt;../data/blob/hipster.txt;18812
10;Junctions one-to-one;analyzing holistic;Architect;69816;../data/blob/hipster.txt;../data/blob/hipster.txt;3231
